id,name,imageUrl,description
50,Grilled Cheese Sandwich,https://cdn.loveandlemons.com/wp-content/uploads/opengraph/2023/01/grilled-cheese-sandwich.jpg,Crispy bread with melted cheese filling.
51,Avocado Toast,https://alegumeaday.com/wp-content/uploads/2024/03/Bean-avocado-toast-3.jpg,Toasted bread topped with mashed avocado.
52,Cucumber Salad,https://cdn.loveandlemons.com/wp-content/uploads/2023/05/cucumber-salad.jpg,Refreshing salad with cucumbers and vinegar dressing.
53,Scrambled Eggs,https://www.livingonadime.com/wp-content/uploads/easy-scrambled-eggs-recipe-tr.jpg,Soft and fluffy eggs cooked in butter.
54,Fruit Smoothie,https://lilluna.com/wp-content/uploads/2022/10/fruit-smoothie-resize-14.jpg,Blended drink with mixed fruits and yogurt.
55,Beef Wellington,https://www.howtocook.recipes/wp-content/uploads/2021/05/Beef-wellington-recipe-500x500.jpg,Tender beef wrapped in puff pastry.
56,Coq au Vin,https://static01.nyt.com/images/2023/08/24/multimedia/MC-Coq-Au-Van-ctpm/MC-Coq-Au-Van-ctpm-mediumSquareAt3X.jpg,French braised chicken with wine sauce.
57,Peking Duck,https://redhousespice.com/wp-content/uploads/2022/01/sliced-peking-duck-with-pancakes-scaled.jpg,Chinese roasted duck with crispy skin.
58,Ratatouille,https://tatyanaseverydayfood.com/wp-content/uploads/2018/08/Creamy-Smoky-Ratatouille-2.jpg,French stewed vegetable dish.
59,Osso Buco,https://cookingwithwineblog.com/wp-content/uploads/2024/06/Braised-Veal-Shanks-Ossobuco-Featured-1.jpg,Italian braised veal shanks with vegetables.
60,Pancakes,https://www.tasteandtellblog.com/wp-content/uploads/2020/03/The-Best-Pancake-Recipe-3.jpg,Fluffy breakfast pancakes served with syrup.
61,French Toast,https://preppykitchen.com/wp-content/uploads/2023/09/French-Toast-R-Blog-2.jpg,Bread soaked in egg mixture and fried.
62,Oatmeal,https://www.veggiesdontbite.com/wp-content/uploads/2020/04/vegan-oatmeal-recipe-FI.jpg,Hearty oats cooked with milk and sweeteners.
63,Breakfast Burrito,https://peasandcrayons.com/wp-content/uploads/2020/03/bacon-breakfast-burrito-recipe--800x1200.jpg,"Tortilla filled with eggs, cheese, and meat."
64,Eggs Benedict,https://www.jocooks.com/wp-content/uploads/2020/08/eggs-benedict-1-13.jpg,Poached eggs with hollandaise sauce on an English muffin.
65,Shahi Paneer,https://shwetainthekitchen.com/wp-content/uploads/2024/04/shahi-paneer.jpg,Rich Indian cottage cheese curry in a creamy tomato and cashew gravy.
66,Fish Tacos,https://tonisrecipes.com/wp-content/uploads/2024/06/Baja-Fish-Tacos-Recipe.jpg,Crispy battered fish with fresh slaw and zesty sauce in soft tortillas.
67,Pierogi,https://bittmanproject.com/wp-content/uploads/GettyImages-1299000692-pierogi.jpg,"Polish dumplings filled with potatoes, cheese, or meat."
68,Okonomiyaki,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Okonomiyaki_001.jpg/960px-Okonomiyaki_001.jpg,"Japanese savory pancake with cabbage, meat, and special sauce."
69,Ceviche,https://www.feastingathome.com/wp-content/uploads/2015/04/Ceviche-Recipe.jpg,Latin American seafood dish cured in citrus juice.
70,Khachapuri,https://www.kingarthurbaking.com/sites/default/files/2021-02/khachapuri.jpg,Georgian bread filled with cheese and egg.
71,Chili con Carne,https://images.services.kitchenstories.io/FtUUbPmk1FZjTR40hKwRhP4U3Bs=/3840x0/filters:quality(85)/images.kitchenstories.io/wagtailOriginalImages/R260_final_photo_2.jpg,"Spicy stew with ground beef, beans, and tomatoes."
72,Doro Wat,https://www.chilipeppermadness.com/wp-content/uploads/2023/08/Doro-Wat-Recipe-SQ.jpg,Ethiopian chicken stew spiced with berbere and served with injera.
73,Laksa,https://www.elmundoeats.com/wp-content/uploads/2024/03/Penang-asam-laksa-in-a-bowl.jpg,Spicy Malaysian noodle soup with coconut milk and seafood.
74,Katsu Sando,https://www.jocooks.com/wp-content/uploads/2024/05/katsu-sando-1-3.jpg,Japanese sandwich with breaded pork cutlet and sauce.
75,Bánh Mì,http://savorysweetspoon.com/wp-content/uploads/2023/11/Banh-Mi-Thit-Nuong-1x1-1.jpg,"Vietnamese sandwich with pickled veggies, meat, and fresh herbs."
76,Stuffed Bell Peppers,https://www.aheadofthyme.com/wp-content/uploads/2018/07/vegan-stuffed-peppers.jpg,"Bell peppers filled with rice, meat, and tomato sauce."
77,Arancini,https://howtofeedaloon.com/wp-content/uploads/2017/08/rice-balls-3-2.jpg,Italian fried rice balls with cheese and meat filling.
78,Arepas,https://healthiersteps.com/wp-content/uploads/2018/12/how-to-make-arepas-easy.jpg,"Venezuelan cornmeal cakes filled with meat, cheese, or beans."
79,Tamales,https://keviniscooking.com/wp-content/uploads/2023/08/Pork-Tamales-Rojos-sauce.jpg,Mexican dish of masa dough filled with meat and steamed in a corn husk.
80,Pão de Queijo,https://essareceitafunciona.com.br/wp-content/uploads/2022/07/Pao-de-queijo-Essa-Receita-Funciona-9.jpg,Brazilian cheese bread with a chewy texture.
81,Shakoy,https://spicesnflavors.com/wp-content/uploads/2024/07/close-up-image-of-stacked-twisted-donuts.jpg,Filipino twisted fried dough dusted with sugar.
82,Spanakopita,https://cravinghomecooked.com/wp-content/uploads/2023/11/spanakopita-1.jpg,Greek spinach and feta pie in flaky pastry.
83,Cachapa,https://cookandsalsa.com/wp-content/uploads/2023/01/cachapa-receta-venezolana.jpg,Venezuelan sweet corn pancake filled with cheese.
84,Tteokbokki,https://christieathome.com/wp-content/uploads/2022/07/Tteokbokki-3.jpg,Korean spicy rice cakes in gochujang sauce.
85,Mapo Tofu,https://omnivorescookbook.com/wp-content/uploads/2022/05/220510_Mapo-Tofu_4-1.jpg,A spicy and numbing Sichuan tofu dish with ground pork.
86,Chicken Tinga,https://tastesbetterfromscratch.com/wp-content/uploads/2022/08/Chicken-Tinga-Web-9.jpg,Mexican shredded chicken in a smoky chipotle tomato sauce.
87,Clam Chowder,https://www.crumbsnatched.com/wp-content/uploads/2022/05/clam-chowder-bread-bowl-featured.jpg,"A creamy soup made with clams, potatoes, and bacon."
88,Empanadas,https://handletheheat.com/wp-content/uploads/2015/06/beef-empanadas-SQUARE.jpg,Savory stuffed pastry common in Latin America.
89,Bulgogi,https://s23209.pcdn.co/wp-content/uploads/2019/04/240124_DD_korean-beef-bulgogi_274.jpg,Korean grilled marinated beef.
90,Sauerbraten,http://eat.de/wp-content/uploads/2024/07/fraenkischer-sauerbraten-016.jpg,German pot roast marinated in vinegar and spices.
91,Rendang,https://rasamalaysia.com/wp-content/uploads/2018/04/beef-rendang-thumb.jpg,Indonesian spicy beef stew simmered in coconut milk.
92,Aloo Gobi,https://static01.nyt.com/images/2023/12/21/multimedia/ND-Aloo-Gobi-gkwc/ND-Aloo-Gobi-gkwc-mediumSquareAt3X.jpg,Indian dry curry made with potatoes and cauliflower.
93,Galbi,https://live.staticflickr.com/6/5531/30503823454_a75aae1f48_c.jpg,Korean short ribs marinated and grilled.
94,Chana Masala,https://cdn.loveandlemons.com/wp-content/uploads/opengraph/2023/07/chana-masala-recipe.jpg,Indian chickpea curry with tomato and spices.
95,Tamago Kake Gohan,https://www.justonecookbook.com/wp-content/uploads/2024/04/Tamago-Kake-Gohan-Japanese-Egg-on-Rice-2613-II.jpg,Japanese rice dish with raw egg and soy sauce.
96,Pozole,https://www.chilipeppermadness.com/wp-content/uploads/2022/10/Pozole-Rojo-SQ.jpg,Mexican hominy soup with pork or chicken.
97,Nasi Goreng,https://dimsimlim.com/wp-content/uploads/2024/12/Spicy-Nasi-Goreng-1.jpg,Indonesian fried rice with sweet soy sauce and shrimp.
98,Feijoada,https://www.dinnerwithjulie.com/wp-content/uploads/2016/12/feijoada-2-852x1200.jpg,Brazilian black bean stew with pork.
99,Zurek,https://cdn.aniagotuje.com/pictures/articles/2025/03/75880916-v-1500x1500.jpg,Polish sour rye soup with sausage and egg.
100,Adobo,https://www.recipetineats.com/uploads/2015/02/Filipino-Chicken-Adobo_6.jpg,"Filipino stew with vinegar, soy sauce, and garlic."
101,Khao Soi,https://www.feastingathome.com/wp-content/uploads/2016/05/Khao-Soi-3.jpg,Thai coconut curry noodle soup.
102,Bun Cha,https://www.recipetineats.com/tachyon/2019/01/Vietnamese-Pork-Meatballs_6.jpg,Vietnamese grilled pork with rice noodles and herbs.
103,Plov,https://simplyhomecooked.com/wp-content/uploads/2025/02/plov-recipe-3.jpg,Uzbek rice pilaf with lamb and carrots.
104,Kibbeh,https://feelgoodfoodie.net/wp-content/uploads/2020/10/Kibbeh-Balls-7.jpg,Levantine dish of bulgur and minced meat.
